genome	domain	phylum	class	order	family	genus	species	completeness	contamination	mag_size
EHA05415_bin.228	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__RUG11247	s__	81.89	1.31	3349641
EHA05415_bin.270	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__SFEL01	s__	88.79	1.69	1951504
EHA05415_bin.387	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__	52.05	0.41	1305306
EHA05415_bin.95	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4372	s__	93.45	0.68	2192982
EHA05415_bin.204	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CALXUC01	s__	75.47	2.95	1206757
EHA05415_bin.395	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__UBA4345	s__	59.85	2.95	828559
EHA05415_bin.235	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA1712	s__	86.39	1.59	1588530
EHA05415_bin.272	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanocorpusculaceae	g__Methanocorpusculum	s__	88.15	0.62	2337388
EHA05415_bin.283	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	85.96	0.01	1798924
EHA05415_bin.85	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__UBA1407	f__UBA1407	g__CAAGGB01	s__	74.96	1.32	1333314
EHA05415_bin.247	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__	92.49	0.02	1989622
EHA05415_bin.133	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	65.52	0.06	1656412
EHA05415_bin.428	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__ER4	s__	58.45	0.72	1471320
EHA05415_bin.154	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__	97.35	0.07	2261188
EHA05415_bin.230	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__	91.24	2.24	1612161
EHA05415_bin.480	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__UBA636	s__	62.66	0	465353
EHA05415_bin.220	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__SIG598	s__	72.89	1.09	2080182
EHA05415_bin.405	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG591	s__	72.99	4.33	1393203
EHA05415_bin.13	d__Bacteria	p__Spirochaetota	c__UBA4802	o__UBA4802	f__UBA5550	g__	s__	95.56	1.24	2070487
EHA05415_bin.438	d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__Fibrobacter	s__	61.07	8.79	949154
EHA05415_bin.210	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-611	s__	59.73	0.04	1671973
EHA05415_bin.46	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__HGM11604	s__	89.05	0.79	1621110
EHA05415_bin.102	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__	s__	84.98	1.92	1910355
EHA05415_bin.111	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	97.4	0.04	1990112
EHA05415_bin.8	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-382	g__UMGS882	s__	59.28	2.74	1360523
EHA05415_bin.415	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__UMGS1384	g__UMGS1384	s__	93.18	0.02	2028375
EHA05415_bin.319	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UMGS1766	s__	91.47	0.03	2117361
EHA05415_bin.442	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__W3P20-009	g__W3P20-009	s__	65.6	0.73	1408408
EHA05415_bin.303	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Cellulosilyticum	s__	84.27	0.52	2447401
EHA05415_bin.144	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-492	s__	82.19	4.51	1330841
EHA05415_bin.52	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__JAFBIO01	s__	52.53	1.11	548566
EHA05415_bin.473	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Egerieenecus	s__	52.29	6.68	2117607
EHA05415_bin.406	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA738	s__	70.28	6.54	2046752
EHA05415_bin.162	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__W3P20-009	g__W3P20-009	s__	92.45	0.04	1553787
EHA05415_bin.2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Faecivicinus	s__	81.7	0.06	2020176
EHA05415_bin.279	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Bact-11	s__	75.61	1.54	1091891
EHA05415_bin.120	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__HGM11412	s__	79.89	0.5	1400997
EHA05415_bin.109	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	68.75	0.42	1683743
EHA05415_bin.209	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-313	g__CAG-313	s__	93.5	1.21	958653
EHA05415_bin.358	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	99.47	0.56	1850824
EHA05415_bin.350	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	80.03	0.86	2927158
EHA05415_bin.398	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Angelakisella	s__	90.31	2.73	1783772
EHA05415_bin.346	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__UBA1723	s__UBA1723 sp002371265	81.84	0.01	2216519
EHA05415_bin.91	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__JAKSVV01	g__JAKSVV01	s__	82.79	2.19	1753304
EHA05415_bin.129	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__RGIG9608	s__	74.77	0.62	1430495
EHA05415_bin.367	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__HGM13233	s__	64.93	4.16	1449121
EHA05415_bin.458	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__SIG598	s__	94.09	4.33	1698027
EHA05415_bin.49	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_AI	s__	97.15	8.57	2243879
EHA05415_bin.348	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__UBA1067	s__	96.42	0.04	1662654
EHA05415_bin.317	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__CAG-307	s__	96.32	0.96	2633977
EHA05415_bin.452	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__JAEDJH01	s__	72.73	3.89	1570600
EHA05415_bin.18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__QALR01	s__	90.99	0.25	1956990
EHA05415_bin.381	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	51.77	0.33	1280441
EHA05415_bin.187	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UBA6448	s__	95.27	0.19	1643917
EHA05415_bin.417	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__SIG483	s__	89.39	4.84	2572466
EHA05415_bin.378	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__MGBC120314	s__	58.66	1.99	1472719
EHA05415_bin.306	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	91.46	0.12	2147691
EHA05415_bin.108	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	75.67	1.07	1969883
EHA05415_bin.148	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__RGIG2000	s__	72.75	1.96	969039
EHA05415_bin.302	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAJFTT01	g__Tabaqchalia	s__	78.84	0.14	1510507
EHA05415_bin.77	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__RUG350	g__	s__	98.18	0.4	2311117
EHA05415_bin.31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	97.42	0	1009255
EHA05415_bin.94	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA2918	s__	92.33	3.46	1588956
EHA05415_bin.184	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	g__UBA1784	s__	99.52	0.18	903276
EHA05415_bin.69	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Thermoguttaceae	g__RUG11551	s__	58.6	0.69	1772285
EHA05415_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__CAG-390	s__	70.63	0.79	1255304
EHA05415_bin.104	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	82.21	2.58	1576293
EHA05415_bin.451	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	81.9	0.05	1858727
EHA05415_bin.207	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__	s__	81.59	1.71	1833402
EHA05415_bin.266	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA1227	s__	88.45	1.61	735142
EHA05415_bin.352	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__	s__	72.95	1.79	1752200
EHA05415_bin.380	d__Bacteria	p__Bacillota_A	c__Clostridia	o__	f__	g__	s__	51.95	2.48	1489360
EHA05415_bin.113	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__UBA6984	s__	78.14	0.56	1301889
EHA05415_bin.193	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-465	g__UMGS1649	s__	97.38	3.55	1032815
EHA05415_bin.218	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__RGIG8767	s__	93.28	0.08	1719499
EHA05415_bin.212	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__	s__	79.33	5.48	1782111
EHA05415_bin.414	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__RGIG10190	s__	94.45	0.26	1875335
EHA05415_bin.179	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__JAAYLN01	g__	s__	97.89	0.65	1503011
EHA05415_bin.400	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__SIG673	s__	75.8	2.22	1998580
EHA05415_bin.416	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__UMGS1384	g__UMGS1384	s__	100	5.13	2064568
EHA05415_bin.445	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__QAMX01	g__RUG11797	s__RUG11797 sp024404415	97.8	0.53	2065013
EHA05415_bin.327	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UBA5578	s__	86.77	3.01	1580134
EHA05415_bin.409	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__WCHB1-69	g__F23-D06	s__	94.53	1.09	2027683
EHA05415_bin.66	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	75.35	2.72	1780337
EHA05415_bin.342	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__CAG-272	s__	95.22	1.42	2733153
EHA05415_bin.86	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA6857	s__	53.91	7.28	1662451
EHA05415_bin.190	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__JAKSVV01	g__JAKSVV01	s__	79.85	0	2316261
EHA05415_bin.19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RUG806	s__	95.25	0.73	1627843
EHA05415_bin.167	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	96.25	2.61	2355169
EHA05415_bin.226	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides ovatus	81.86	1.01	2556557
EHA05415_bin.90	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__Scatovivens	s__	89.52	2.67	2970869
EHA05415_bin.435	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__UBA1067	s__	58.68	0.97	1268484
EHA05415_bin.377	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	97.91	0.24	1450002
EHA05415_bin.173	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__Nanosyncoccaceae	g__Nanosyncoccus	s__	77.14	1.03	1231825
EHA05415_bin.16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tenuifilaceae	g__RGIG6076	s__	90.33	2.13	1824918
EHA05415_bin.335	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__UBA1754	s__UBA1754 sp015061145	66.76	0.4	891862
EHA05415_bin.286	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__JAKSUT01	s__	73.25	3.14	1516143
EHA05415_bin.27	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA1201	s__	92.26	6.45	1636688
EHA05415_bin.320	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Fimadaptatus	s__	96.71	2.61	1933410
EHA05415_bin.79	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS1312	s__	98.15	2.09	1540459
EHA05415_bin.412	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	91.62	3.34	2704398
EHA05415_bin.475	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Firm-04	s__	53.36	7.85	1546826
EHA05415_bin.425	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-382	g__UBA1206	s__	51.89	3.28	1655812
EHA05415_bin.138	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__	71.09	0.27	1886007
EHA05415_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__CAKUFI01	s__	80.6	2.51	2522853
EHA05415_bin.42	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__HUN007	s__	83.47	1.69	1730811
EHA05415_bin.252	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Limiplasma	s__	85.83	1.36	1878698
EHA05415_bin.195	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__	95.95	0.77	1709464
EHA05415_bin.35	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__CAG-312	g__UMGS1490	s__	95.2	0.57	1631924
EHA05415_bin.411	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium_A	s__	83.81	3.02	1382983
EHA05415_bin.186	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-698	g__CAG-698	s__	86.23	6.01	1206475
EHA05415_bin.17	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RUG11792	f__RUG11792	g__MGBC162888	s__	90.72	0.38	1473607
EHA05415_bin.347	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__	98.24	0.03	1596707
EHA05415_bin.208	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG12783	s__	77.26	3.52	924981
EHA05415_bin.291	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	97.4	5.16	1788006
